[2025-11-29 17:31:58] [INFO    ] discord.client: logging in using static token
[2025-11-29 17:32:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'youtube_tutorial', 'primary_guild': None, 'mfa_enabled': False, 'id': '1444194415710048419', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0982', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'd6ef63bb189517b2d454c2485a1818f0', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1225403470421561435'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['sydney', 'singapore', 'hongkong', 'japan', 'india'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1444194415710048419', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-m7wp",{"micros":136194,"calls":["id_created",{"micros":913,"calls":[]},"session_lookup_time",{"micros":283,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-136",{"micros":134713,"calls":["start_session",{"micros":116946,"calls":["discord-api-rpc-55ddb4c47b-zqr8m",{"micros":51612,"calls":["get_user",{"micros":8452},"get_guilds",{"micros":6742},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":389},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":54505},"apex_experiments",{"micros":3459},"user_activities",{"micros":7},"played_application_ids",{"micros":3},"linked_users",{"micros":4}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":6624,"calls":[]},"guilds_started",{"micros":100,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":10983,"calls":[]},"connect_finished",{"micros":10991,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-29 17:32:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:00] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: d6ef63bb189517b2d454c2485a1818f0).
[2025-11-29 17:32:00] [DEBUG   ] discord.client: Dispatching event connect
[2025-11-29 17:32:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_tier': 0, 'splash': None, 'hub_type': None, 'nsfw': False, 'mfa_level': 0, 'soundboard_sounds': [], 'preferred_locale': 'en-US', 'joined_at': '2025-11-29T05:45:42.583418+00:00', 'profile': None, 'home_header': None, 'members': [{'user': {'username': 'youtube_tutorial', 'public_flags': 0, 'primary_guild': None, 'id': '1444194415710048419', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0982', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1444202644733165723'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-29T05:45:42.583418+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'member_count': 2, 'owner_id': '1142341354471575562', 'system_channel_flags': 0, 'vanity_url_code': None, 'id': '1225403470421561435', 'presences': [], 'stage_instances': [], 'name': "Schnitzel's server", 'discovery_splash': None, 'voice_states': [], 'premium_subscription_count': 0, 'icon': None, 'activity_instances': [], 'region': 'deprecated', 'threads': [], 'guild_scheduled_events': [], 'application_command_counts': {}, 'premium_features': None, 'roles': [{'version': 1764397292329, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1225403470421561435', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1764397292335, 'unicode_emoji': None, 'tags': {'bot_id': '1444194415710048419'}, 'position': 2, 'permissions': '7318676080815168', 'name': 'youtube_tutorial', 'mentionable': False, 'managed': True, 'id': '1444202644733165723', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1764397292340, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Gamer', 'mentionable': False, 'managed': False, 'id': '1444210777119653928', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}], 'description': None, 'premium_progress_bar_enabled': False, 'moderator_reporting': None, 'embedded_activities': [], 'max_video_channel_users': 25, 'channels': [{'version': 1764397292349, 'type': 4, 'position': 0, 'permission_overwrites': [], 'parent_id': None, 'name': 'Text Channels', 'id': '1225403470421561436', 'flags': 0}, {'version': 1764397292351, 'type': 4, 'position': 0, 'permission_overwrites': [], 'parent_id': None, 'name': 'Voice Channels', 'id': '1225403470421561437', 'flags': 0}, {'version': 1764397292354, 'type': 0, 'topic': None, 'theme_color': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1225403470421561436', 'nsfw': False, 'name': 'general', 'last_message_id': '1444213678013550664', 'id': '1225403470878609500', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'voice_background_display': None, 'version': 1764397292357, 'user_limit': 0, 'type': 2, 'theme_color': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1225403470421561437', 'nsfw': False, 'name': 'General', 'last_message_id': None, 'id': '1225403470878609502', 'icon_emoji': {'name': '🎙️', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'nsfw_level': 0, 'rules_channel_id': None, 'application_id': None, 'public_updates_channel_id': None, 'latest_onboarding_question_id': None, 'afk_channel_id': None, 'default_message_notifications': 0, 'max_stage_video_channel_users': 50, 'explicit_content_filter': 0, 'afk_timeout': 300, 'banner': None, 'inventory_settings': None, 'owner_configured_content_level': 0, 'system_channel_id': '1225403470878609500', 'unavailable': False, 'lazy': True, 'version': 1764397292375, 'large': False, 'verification_level': 0, 'stickers': [], 'incidents_data': None, 'emojis': [], 'features': ['PIN_PERMISSION_MIGRATION_COMPLETE', 'BYPASS_SLOWMODE_PERMISSION_MIGRATION_COMPLETE'], 'safety_alerts_channel_id': None, 'max_members': 25000000}}
[2025-11-29 17:32:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '98c8326049d04a21ca34971a6f456a59', 'members': [{'user': {'username': 'sunny_68099', 'public_flags': 0, 'primary_guild': None, 'id': '1142341354471575562', 'global_name': 'Schnitzel', 'display_name_styles': None, 'display_name': 'Schnitzel', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '48048277d672f3c34c1efec3254a6683'}, 'roles': ['1444210777119653928'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-04-04T11:15:54.305000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'youtube_tutorial', 'public_flags': 0, 'primary_guild': None, 'id': '1444194415710048419', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0982', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1444202644733165723'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-29T05:45:42.583418+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1225403470421561435', 'chunk_index': 0, 'chunk_count': 1}}
[2025-11-29 17:32:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:00] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1225403470421561435.
[2025-11-29 17:32:02] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-11-29 17:32:02] [DEBUG   ] discord.client: Dispatching event ready
[2025-11-29 17:32:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-11-29T06:32:02.863000+00:00', 'pinned': False, 'nonce': '1444214304952811520', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1444210777119653928'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-04-04T11:15:54.305000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1444214306454372452', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!poll', 'components': [], 'channel_type': 0, 'channel_id': '1225403470878609500', 'author': {'username': 'sunny_68099', 'public_flags': 0, 'primary_guild': None, 'id': '1142341354471575562', 'global_name': 'Schnitzel', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '48048277d672f3c34c1efec3254a6683'}, 'attachments': [], 'guild_id': '1225403470421561435'}}
[2025-11-29 17:32:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:02] [DEBUG   ] discord.client: Dispatching event message
[2025-11-29 17:32:02] [DEBUG   ] discord.client: Dispatching event command
[2025-11-29 17:32:02] [DEBUG   ] discord.client: Dispatching event command_error
[2025-11-29 17:32:02] [ERROR   ] discord.ext.commands.bot: Ignoring exception in command poll
Traceback (most recent call last):
  File "/Users/sc200/Discord Bot Tutorial/.venv/lib/python3.9/site-packages/discord/ext/commands/bot.py", line 1376, in invoke
    await ctx.command.invoke(ctx)
  File "/Users/sc200/Discord Bot Tutorial/.venv/lib/python3.9/site-packages/discord/ext/commands/core.py", line 1056, in invoke
    await self.prepare(ctx)
  File "/Users/sc200/Discord Bot Tutorial/.venv/lib/python3.9/site-packages/discord/ext/commands/core.py", line 973, in prepare
    await self._parse_arguments(ctx)
  File "/Users/sc200/Discord Bot Tutorial/.venv/lib/python3.9/site-packages/discord/ext/commands/core.py", line 888, in _parse_arguments
    kwargs[name] = await self.transform(ctx, param, attachments)
  File "/Users/sc200/Discord Bot Tutorial/.venv/lib/python3.9/site-packages/discord/ext/commands/core.py", line 732, in transform
    raise MissingRequiredArgument(param)
discord.ext.commands.errors.MissingRequiredArgument: question is a required argument that is missing.
[2025-11-29 17:32:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '1142341354471575562', 'timestamp': 1764397929, 'member': {'user': {'username': 'sunny_68099', 'public_flags': 0, 'primary_guild': None, 'id': '1142341354471575562', 'global_name': 'Schnitzel', 'display_name_styles': None, 'display_name': 'Schnitzel', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '48048277d672f3c34c1efec3254a6683'}, 'roles': ['1444210777119653928'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-04-04T11:15:54.305000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1225403470878609500', 'guild_id': '1225403470421561435'}}
[2025-11-29 17:32:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:09] [DEBUG   ] discord.client: Dispatching event typing
[2025-11-29 17:32:09] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-11-29 17:32:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-11-29T06:32:09.598000+00:00', 'pinned': False, 'nonce': '1444214333100785664', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1444210777119653928'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-04-04T11:15:54.305000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1444214334703009843', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!poll is tim the best', 'components': [], 'channel_type': 0, 'channel_id': '1225403470878609500', 'author': {'username': 'sunny_68099', 'public_flags': 0, 'primary_guild': None, 'id': '1142341354471575562', 'global_name': 'Schnitzel', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '48048277d672f3c34c1efec3254a6683'}, 'attachments': [], 'guild_id': '1225403470421561435'}}
[2025-11-29 17:32:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:09] [DEBUG   ] discord.client: Dispatching event message
[2025-11-29 17:32:09] [DEBUG   ] discord.client: Dispatching event command
[2025-11-29 17:32:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-11-29T06:32:10.110000+00:00', 'pinned': False, 'nonce': '10716912419525401194', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1444202644733165723'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-29T05:45:42.583418+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1444214336850624593', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'New Poll', 'id': '1444214336850624594', 'description': 'is tim the best', 'content_scan_version': 0}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1225403470878609500', 'author': {'username': 'youtube_tutorial', 'public_flags': 0, 'primary_guild': None, 'id': '1444194415710048419', 'global_name': None, 'display_name_styles': None, 'discriminator': '0982', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1225403470421561435'}}
[2025-11-29 17:32:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:10] [DEBUG   ] discord.client: Dispatching event message
[2025-11-29 17:32:10] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1225403470878609500/messages with {"embeds":[{"flags":0,"type":"rich","description":"is tim the best","title":"New Poll"}],"content":null,"components":[],"nonce":"10716912419525401194","enforce_nonce":true,"tts":false} has returned 200
[2025-11-29 17:32:10] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-11-29 17:32:10] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1225403470878609500/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'New Poll', 'description': 'is tim the best', 'content_scan_version': 0}], 'timestamp': '2025-11-29T06:32:10.110000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1444214336850624593', 'channel_id': '1225403470878609500', 'author': {'id': '1444194415710048419', 'username': 'youtube_tutorial', 'avatar': None, 'discriminator': '0982', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '10716912419525401194'}
[2025-11-29 17:32:10] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1225403470878609500/messages/1444214336850624593/reactions/%F0%9F%91%8D/@me with None has returned 204
[2025-11-29 17:32:10] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
[2025-11-29 17:32:10] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-11-29 17:32:10] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1225403470878609500/messages/1444214336850624593/reactions/%F0%9F%91%8D/@me has received 
[2025-11-29 17:32:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 8, 'op': 0, 'd': {'user_id': '1444194415710048419', 'type': 0, 'message_id': '1444214336850624593', 'message_author_id': '1444194415710048419', 'member': {'user': {'username': 'youtube_tutorial', 'public_flags': 0, 'primary_guild': None, 'id': '1444194415710048419', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0982', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1444202644733165723'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-29T05:45:42.583418+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1225403470878609500', 'burst': False, 'guild_id': '1225403470421561435'}}
[2025-11-29 17:32:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:10] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-11-29 17:32:10] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-11-29 17:32:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 9, 'op': 0, 'd': {'user_id': '1444194415710048419', 'type': 0, 'message_id': '1444214336850624593', 'message_author_id': '1444194415710048419', 'member': {'user': {'username': 'youtube_tutorial', 'public_flags': 0, 'primary_guild': None, 'id': '1444194415710048419', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0982', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1444202644733165723'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-29T05:45:42.583418+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1225403470878609500', 'burst': False, 'guild_id': '1225403470421561435'}}
[2025-11-29 17:32:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:11] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-11-29 17:32:11] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-11-29 17:32:11] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1225403470878609500/messages/1444214336850624593/reactions/%F0%9F%91%8E/@me with None has returned 204
[2025-11-29 17:32:11] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-11-29 17:32:11] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1225403470878609500/messages/1444214336850624593/reactions/%F0%9F%91%8E/@me has received 
[2025-11-29 17:32:11] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-11-29 17:32:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 10, 'op': 0, 'd': {'user_id': '1142341354471575562', 'type': 0, 'message_id': '1444214336850624593', 'message_author_id': '1444194415710048419', 'member': {'user': {'username': 'sunny_68099', 'public_flags': 0, 'primary_guild': None, 'id': '1142341354471575562', 'global_name': 'Schnitzel', 'display_name_styles': None, 'display_name': 'Schnitzel', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '48048277d672f3c34c1efec3254a6683'}, 'roles': ['1444210777119653928'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-04-04T11:15:54.305000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1225403470878609500', 'burst': False, 'guild_id': '1225403470421561435'}}
[2025-11-29 17:32:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:13] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-11-29 17:32:13] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-11-29 17:32:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_REMOVE', 's': 11, 'op': 0, 'd': {'user_id': '1142341354471575562', 'type': 0, 'message_id': '1444214336850624593', 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1225403470878609500', 'burst': False, 'guild_id': '1225403470421561435'}}
[2025-11-29 17:32:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:13] [DEBUG   ] discord.client: Dispatching event raw_reaction_remove
[2025-11-29 17:32:13] [DEBUG   ] discord.client: Dispatching event reaction_remove
[2025-11-29 17:32:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 12, 'op': 0, 'd': {'user_id': '1142341354471575562', 'type': 0, 'message_id': '1444214336850624593', 'message_author_id': '1444194415710048419', 'member': {'user': {'username': 'sunny_68099', 'public_flags': 0, 'primary_guild': None, 'id': '1142341354471575562', 'global_name': 'Schnitzel', 'display_name_styles': None, 'display_name': 'Schnitzel', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '48048277d672f3c34c1efec3254a6683'}, 'roles': ['1444210777119653928'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-04-04T11:15:54.305000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1225403470878609500', 'burst': False, 'guild_id': '1225403470421561435'}}
[2025-11-29 17:32:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:14] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-11-29 17:32:14] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-11-29 17:32:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_REMOVE', 's': 13, 'op': 0, 'd': {'user_id': '1142341354471575562', 'type': 0, 'message_id': '1444214336850624593', 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1225403470878609500', 'burst': False, 'guild_id': '1225403470421561435'}}
[2025-11-29 17:32:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-29 17:32:15] [DEBUG   ] discord.client: Dispatching event raw_reaction_remove
[2025-11-29 17:32:15] [DEBUG   ] discord.client: Dispatching event reaction_remove
[2025-11-29 17:32:41] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2025-11-29 17:32:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-29 17:33:22] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2025-11-29 17:33:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-29 17:34:03] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2025-11-29 17:34:03] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-29 17:34:44] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2025-11-29 17:34:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
